headline,link
1. CIA Deputy Director Resigns,http://www.thedailybeast.com/cheats/2013/06/12/cia-deputy-director-resigns.html
2. Snowden: The U.S. Is Hacking China,http://www.thedailybeast.com/cheats/2013/06/12/snowden-the-u-s-is-hacking-china.html
3. NSA: ‘Dozens’ of Attacks Averted,http://www.thedailybeast.com/cheats/2013/06/12/nsa-dozens-of-attacks-averted.html
4. Feds Oppose NYPD Over Stop and Frisk,http://www.thedailybeast.com/cheats/2013/06/12/feds-back-plaintiffs-suing-nypd-over-stop-and-frisk.html
5. Facebook to Introduce Hashtags,http://www.thedailybeast.com/cheats/2013/06/12/facebook-to-introduce-hashtags.html
6. GOP Rep: Pregnancy From Rape Is Rare,http://www.thedailybeast.com/cheats/2013/06/12/gop-rep-pregnancy-from-rape-is-rare.html
7. Ariel Castro Pleads Not Guilty,http://www.thedailybeast.com/cheats/2013/06/12/ariel-castro-pleads-not-guilty.html
8. Window Washers Trapped on Tower,http://www.thedailybeast.com/cheats/2013/06/12/window-washers-trapped-on-tower.html
9. Bill Clinton Is ‘Father of the Year’,http://www.thedailybeast.com/cheats/2013/06/12/bill-clinton-is-father-of-the-year.html
10. M. Night Shyamalan Ghostwrote ‘She’s All That’,http://www.thedailybeast.com/cheats/2013/06/12/m-night-shyamalan-ghostwrote-she-s-all-that.html
11. University Now Accepting Bitcoins,http://www.thedailybeast.com/cheats/2013/06/12/university-now-accepting-bitcoins.html
12. Young Girl Gets Lung,http://www.thedailybeast.com/cheats/2013/06/12/young-girl-moved-to-adult-transplant-list-gets-lung.html
13. News Anchor Says ‘Fag’ on Air,http://www.thedailybeast.com/cheats/2013/06/12/news-anchor-says-fag-on-air.html
14. Dunkin’ Donuts to Reward Workers,http://www.thedailybeast.com/cheats/2013/06/12/dunkin-donuts-to-reward-workers.html
15. 57 G8 Protesters Arrested in London,http://www.thedailybeast.com/cheats/2013/06/12/57-g8-protesters-arrested-in-london.html
16. Your Friends Can’t Afford to Be In Your Wedding,http://www.thedailybeast.com/witw/cheats/2013/06/12/your-friends-can-t-afford-to-be-in-your-wedding.html
17. Google Pushes to Publish Confidential Data,http://www.thedailybeast.com/cheats/2013/06/11/google-pushes-to-publish-secret-nsa-data.html
18. Snowden’s Girlfriend’s Dad Sends His Love,http://www.thedailybeast.com/cheats/2013/06/12/snowden-s-girlfriend-s-dad-sends-his-love.html
19. Mumford & Sons Bassist Hospitalized,http://www.thedailybeast.com/cheats/2013/06/12/mumford-sons-bassist-hospitalized.html
20. World’s Oldest Man Dies in Japan,http://www.thedailybeast.com/cheats/2013/06/12/world-s-oldest-man-dies-in-japan.html
21. Taksim Square Cleared of Protesters,http://www.thedailybeast.com/cheats/2013/06/12/taksim-square-calm-after-night-of-violent-clashes.html
22. Snowden: I’m Neither Traitor nor Hero,http://www.thedailybeast.com/cheats/2013/06/12/report-snowden-seeking-legal-advice.html
23. Aspiring Actress Solves Father’s Murder,http://www.thedailybeast.com/cheats/2013/06/12/aspiring-actress-solves-father-s-murder.html
24. Wildfires Rage Across Colorado,http://www.thedailybeast.com/cheats/2013/06/12/wildfires-rage-across-colorado.html
25. Snowden’s Friend: ‘I Fear for Him’,http://www.thedailybeast.com/cheats/2013/06/12/snowden-s-friend-i-fear-for-him.html
26. Pope Francis Exposes ‘Gay Lobby’,http://www.thedailybeast.com/cheats/2013/06/12/pope-francis-exposes-gay-lobby.html
